cancer	standard_drug_name	hpo_term	go_term	2019_None
breast_cancer	METHOTREXATE	HP:0000238	GO:0005794	165754000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0005886	730888000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0000122	262951000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0019899	355559000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0042802	1269710000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0042803	311965000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0045944	642337000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0005515	41222600000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0005634	6342310000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0005654	3373790000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0005737	3021680000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0005794	309674000.0
breast_cancer	METHOTREXATE	HP:0000286	GO:0005886	1395050000.0
breast_cancer	METHOTREXATE	HP:0003812	GO:0042802	388602000.0
breast_cancer	METHOTREXATE	HP:0003812	GO:0005515	9876190000.0
breast_cancer	METHOTREXATE	HP:0003812	GO:0005634	1636350000.0
breast_cancer	METHOTREXATE	HP:0003812	GO:0005654	864221000.0
breast_cancer	METHOTREXATE	HP:0003812	GO:0005737	879324000.0
breast_cancer	METHOTREXATE	HP:0003812	GO:0005886	404316000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0000122	571988000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0019899	873171000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0003677	191945000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0042802	3079160000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0042803	737308000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0045944	1410880000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0005515	93063500000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0005634	14502300000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0005654	7811230000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0005737	7211910000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0005794	715362000.0
breast_cancer	METHOTREXATE	HP:0000486	GO:0005886	3332260000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0000122	403906000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0019899	737722000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0042802	2497160000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0042803	602547000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0045944	1059010000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0005515	72262800000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0005634	11205700000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0005654	5904510000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0005737	5734180000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0005794	559274000.0
breast_cancer	METHOTREXATE	HP:0000518	GO:0005886	2668040000.0
breast_cancer	METHOTREXATE	HP:0000519	GO:0005515	1281200000.0
breast_cancer	METHOTREXATE	HP:0000519	GO:0005634	171662000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0000122	197756000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0019899	277016000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0042802	982098000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0042803	242048000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0045944	484902000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0005515	30682200000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0005634	4780700000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0005654	2522910000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0005737	2300030000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0005794	240012000.0
breast_cancer	METHOTREXATE	HP:0005280	GO:0005886	1081880000.0
breast_cancer	METHOTREXATE	HP:0000529	GO:0005515	471790000.0
breast_cancer	METHOTREXATE	HP:0000541	GO:0005515	1081680000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0042802	441696000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0045944	200260000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0005515	13661200000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0005634	2057220000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0005654	1075860000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0005737	1004810000.0
breast_cancer	METHOTREXATE	HP:0000545	GO:0005886	481948000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0042802	331498000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0045944	163211000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0005515	10009600000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0005634	1577830000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0005654	836649000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0005737	760528000.0
breast_cancer	METHOTREXATE	HP:0005692	GO:0005886	352304000.0
breast_cancer	METHOTREXATE	HP:0000572	GO:0005515	2088560000.0
breast_cancer	METHOTREXATE	HP:0000572	GO:0005634	324844000.0
breast_cancer	METHOTREXATE	HP:0000572	GO:0005654	167457000.0
breast_cancer	METHOTREXATE	HP:0000572	GO:0005737	172004000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0000122	552174000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0019899	1126100000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0003677	199611000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0042802	3610710000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0042803	855129000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0045944	1434410000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0005515	100816000000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0005634	15892300000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0005654	8472230000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0005737	8350360000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0005794	802952000.0
breast_cancer	METHOTREXATE	HP:0000639	GO:0005886	3866490000.0
breast_cancer	METHOTREXATE	HP:0000076	GO:0005515	3788360000.0
breast_cancer	METHOTREXATE	HP:0000076	GO:0005634	648139000.0
breast_cancer	METHOTREXATE	HP:0000076	GO:0005654	345472000.0
breast_cancer	METHOTREXATE	HP:0000076	GO:0005737	310154000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0000122	2137490000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0016020	763576000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0019899	7705360000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0003677	717335000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0003713	277671000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0042802	17529000000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0042803	3457560000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0044212	395695000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0045944	5571350000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005515	264916000000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005634	65160600000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005654	34704600000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005737	35312200000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005794	2847830000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005886	15715900000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0005887	575241000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0060271	300472000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0006468	504655000.0
breast_cancer	METHOTREXATE	HP:0000007	GO:0009986	737739000.0
breast_cancer	METHOTREXATE	HP:0000952	GO:0005515	2245360000.0
breast_cancer	METHOTREXATE	HP:0000952	GO:0005634	437219000.0
breast_cancer	METHOTREXATE	HP:0000952	GO:0005654	230261000.0
breast_cancer	METHOTREXATE	HP:0000952	GO:0005737	238386000.0
breast_cancer	PALBOCICLIB	HP:0000113	GO:0005515	434812000.0
breast_cancer	PALBOCICLIB	HP:0012115	GO:0005515	89037000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0010628	534603000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0010629	184702000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0001228	255561000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0140030	2130470000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0016020	390054000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0016567	102796000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0016604	601905000.0
breast_cancer	PALBOCICLIB	HP:0001263	GO:0016607	433275000.0
